year,avg_wealth
1917,44275.887
1918,38999.231
1919,37818.4303
1920,33534.1707
1921,37234.4389
1922,42202.1659
1923,42536.8152
1924,43546.7125
1925,45972.8034
1926,47588.0334
1927,50844.1444
1928,57584.2857
1929,59727.3949
1930,55114.3703
1931,48146.9855
1932,43354.5372
1933,45669.758
1934,46952.6821
1935,49027.0805
1936,55875.4527
1937,54155.4596
1938,52421.9675
1939,54036.9705
1940,54117.9019
1941,51102.5401
1942,47395.0306
1943,47726.3592
1944,52034.1458
1945,56992.602
1946,58080.1837
1947,58822.9349
1948,60333.5557
1949,61328.9758
1950,63090.1447
1951,64763.9065
1952,66963.2818
1953,66908.4472
1954,68471.64
1955,72418.7606
1956,75828.9567
1957,76661.99
1958,78212.8121
1959,81101.8424
1960,82535.0821
1961,85828.1467
1962,88954.6801
1963,90956.7506
1964,94241.6697
1965,98884.2634
1966,100507.1811
1967,103625.9461
1968,109093.1107
1969,109272.1016
1970,106388.5696
1971,107349.4427
1972,113491.6396
1973,116291.2951
1974,110487.8174
1975,107332.2541
1976,111554.6581
1977,114159.9442
1978,116748.9543
1979,122043.1844
1980,128753.6766
1981,129668.0296
1982,128738.4565
1983,128759.7933
1984,129256.1439
1985,133427.7211
1986,141464.6633
1987,146245.3542
1988,149899.9832
1989,155053.2425
1990,154367.2816
1991,152596.8389
1992,152653.7823
1993,152286.2596
1994,153525.9519
1995,159453.6569
1996,169146.7099
1997,182452.4575
1998,202522.2619
1999,224769.1302
2000,233574.7634
2001,226982.7587
2002,216449.809
2003,220059.0417
2004,240877.8519
2005,260498.135
2006,275441.3794
2007,276452.0309
2008,238130.6824
2009,203196.0119
2010,202917.849
2011,201524.5226
2012,205494.3466
2013,227682.4388
2014,247361.7169
