year,presidential_party,house_majority,senate_majority
1917,Democrat ,Republican,Democrat
1918,Democrat ,Republican,Democrat
1919,Democrat ,Republican,Republican
1920,Democrat ,Republican,Republican
1921,Republican ,Republican,Republican
1922,Republican ,Republican,Republican
1923,Republican ,Republican,Republican
1924,Republican ,Republican,Republican
1925,Republican ,Republican,Republican
1926,Republican ,Republican,Republican
1927,Republican ,Republican,Republican
1928,Republican ,Republican,Republican
1929,Republican ,Republican,Republican
1930,Republican ,Republican,Republican
1931,Republican ,Republican,Republican
1932,Republican ,Republican,Republican
1933,Democrat,Democrat,Democrat
1934,Democrat,Democrat,Democrat
1935,Democrat,Democrat,Democrat
1936,Democrat,Democrat,Democrat
1937,Democrat,Democrat,Democrat
1938,Democrat,Democrat,Democrat
1939,Democrat,Democrat,Democrat
1940,Democrat,Democrat,Democrat
1941,Democrat,Democrat,Democrat
1942,Democrat,Democrat,Democrat
1943,Democrat,Democrat,Democrat
1944,Democrat,Democrat,Democrat
1945,Democrat,Democrat,Democrat
1946,Democrat,Democrat,Democrat
1947,Democrat,Republican,Republican
1948,Democrat,Republican,Republican
1949,Democrat,Democrat,Democrat
1950,Democrat,Democrat,Democrat
1951,Democrat,Democrat,Democrat
1952,Democrat,Democrat,Democrat
1953,Republican ,Republican,Republican
1954,Republican ,Republican,Republican
1955,Republican ,Democrat,Democrat
1956,Republican ,Democrat,Democrat
1957,Republican ,Democrat,Democrat
1958,Republican ,Democrat,Democrat
1959,Republican ,Democrat,Democrat
1960,Republican ,Democrat,Democrat
1961,Democrat,Democrat,Democrat
1962,Democrat,Democrat,Democrat
1963,Democrat,Democrat,Democrat
1964,Democrat,Democrat,Democrat
1965,Democrat,Democrat,Democrat
1966,Democrat,Democrat,Democrat
1967,Democrat,Democrat,Democrat
1968,Democrat,Democrat,Democrat
1969,Republican,Democrat,Democrat
1970,Republican,Democrat,Democrat
1971,Republican,Democrat,Democrat
1972,Republican,Democrat,Democrat
1973,Republican,Democrat,Democrat
1974,Republican,Democrat,Democrat
1975,Republican,Democrat,Democrat
1976,Republican,Democrat,Democrat
1977,Democrat ,Democrat,Democrat
1978,Democrat ,Democrat,Democrat
1979,Democrat ,Democrat,Democrat
1980,Democrat ,Democrat,Democrat
1981,Republican ,Democrat,Republican
1982,Republican ,Democrat,Republican
1983,Republican ,Democrat,Republican
1984,Republican ,Democrat,Republican
1985,Republican ,Democrat,Republican
1986,Republican ,Democrat,Republican
1987,Republican ,Democrat,Democrat
1988,Republican ,Democrat,Democrat
1989,Republican ,Democrat,Democrat
1990,Republican ,Democrat,Democrat
1991,Republican ,Democrat,Democrat
1992,Republican ,Democrat,Democrat
1993,Democrat ,Democrat,Democrat
1994,Democrat ,Democrat,Democrat
1995,Democrat ,Republican,Republican
1996,Democrat ,Republican,Republican
1997,Democrat ,Republican,Republican
1998,Democrat ,Republican,Republican
1999,Democrat ,Republican,Republican
2000,Democrat ,Republican,Republican
2001,Republican ,Republican,Tie
2002,Republican ,Republican,Tie
2003,Republican ,Republican,Republican
2004,Republican ,Republican,Republican
2005,Republican ,Republican,Republican
2006,Republican ,Republican,Republican
2007,Republican ,Democrat,Tie
2008,Republican ,Democrat,Tie
2009,  Democrat   ,Democrat,Democrat
2010,  Democrat   ,Democrat,Democrat
2011,  Democrat   ,Republican,Democrat
2012,  Democrat   ,Republican,Democrat
2013,  Democrat   ,Republican,Democrat
2014,  Democrat   ,Republican,Democrat
